english,japanese,POS,phrase,unit,part,page,status,level,grade,textbook,,
on,～の上に,位置,,7,Where's the cat?,20,es_word,ES,5,Blue Sky Elementary 5,,
under,～の下に,位置,,7,Where's the cat?,78,es_word,ES,5,Blue Sky Elementary 5,,
between A and B,AとBの間に,位置,,7,Where's the cat?,78,es_word,ES,5,Blue Sky Elementary 5,,
in front of,～の前に,位置,,7,Where's the cat?,78,es_word,ES,5,Blue Sky Elementary 5,,
next to,～の隣に,位置,,7,Where's the cat?,78,es_word,ES,5,Blue Sky Elementary 5,,
left,左に,位置,,7,Where's the cat?,80,es_word,ES,5,Blue Sky Elementary 5,,
right,右に,位置,,7,Where's the cat?,80,es_word,ES,5,Blue Sky Elementary 5,,
straight,まっすぐ,位置,,7,Where's the cat?,,es_word,ES,5,Blue Sky Elementary 5,,
bank,銀行,"建物,施設",,7,Where's the cat?,78,es_word,ES,5,Blue Sky Elementary 5,,
bookstore,書店,"建物,施設",,7,Where's the cat?,79,es_word,ES,5,Blue Sky Elementary 5,,
bus stop,バス停,"建物,施設",,7,Where's the cat?,109,es_word,ES,5,Blue Sky Elementary 5,,
cake shop,ケーキ屋,"建物,施設",,7,Where's the cat?,19,es_word,ES,5,Blue Sky Elementary 5,,
coffee shop,コーヒーショップ,"建物,施設",,7,Where's the cat?,79,es_word,ES,5,Blue Sky Elementary 5,,
convenience store,コンビニ,"建物,施設",,7,Where's the cat?,78,es_word,ES,5,Blue Sky Elementary 5,,
department store,デパート,"建物,施設",,7,Where's the cat?,79,es_word,ES,5,Blue Sky Elementary 5,,
fire station,消防署,"建物,施設",,7,Where's the cat?,78,es_word,ES,5,Blue Sky Elementary 5,,
flower shop,花屋,"建物,施設",,7,Where's the cat?,79,es_word,ES,5,Blue Sky Elementary 5,,
gas station,ガソリンスタンド,"建物,施設",,7,Where's the cat?,79,es_word,ES,5,Blue Sky Elementary 5,,
hospital,病院,"建物,施設",,7,Where's the cat?,78,es_word,ES,5,Blue Sky Elementary 5,,
hotel,ホテル,"建物,施設",,7,Where's the cat?,79,es_word,ES,5,Blue Sky Elementary 5,,
house,家,"建物,施設",,7,Where's the cat?,81,es_word,ES,5,Blue Sky Elementary 5,,
ice cream shop,アイスクリーム屋,"建物,施設",,7,Where's the cat?,4,es_word,ES,5,Blue Sky Elementary 5,,
park,公園,"建物,施設",,7,Where's the cat?,74,es_word,ES,5,Blue Sky Elementary 5,,
police station,警察署,"建物,施設",,7,Where's the cat?,78,es_word,ES,5,Blue Sky Elementary 5,,
post office,郵便局,"建物,施設",,7,Where's the cat?,78,es_word,ES,5,Blue Sky Elementary 5,,
restaurant,レストラン,"建物,施設",,7,Where's the cat?,79,es_word,ES,5,Blue Sky Elementary 5,,
school,学校,"建物,施設",,7,Where's the cat?,32,es_word,ES,5,Blue Sky Elementary 5,,
station,駅,"建物,施設",,7,Where's the cat?,32,es_word,ES,5,Blue Sky Elementary 5,,
supermarket,スーパーマーケット,"建物,施設",,7,Where's the cat?,78,es_word,ES,5,Blue Sky Elementary 5,,
bread,パン,飲食物,,8,Let's go to Singapore.,86,es_word,ES,5,Blue Sky Elementary 5,,
curry and rice,カレーライス,飲食物,,8,Let's go to Singapore.,45,es_word,ES,5,Blue Sky Elementary 5,,
French fries,フレンチフライ,飲食物,,8,Let's go to Singapore.,87,es_word,ES,5,Blue Sky Elementary 5,,
fried chicken,フライドチキン,飲食物,,8,Let's go to Singapore.,86,es_word,ES,5,Blue Sky Elementary 5,,
grilled fish,焼き魚,飲食物,,8,Let's go to Singapore.,86,es_word,ES,5,Blue Sky Elementary 5,,
hot dog,ホットドッグ,飲食物,,8,Let's go to Singapore.,86,es_word,ES,5,Blue Sky Elementary 5,,
omelet,オムレツ,飲食物,,8,Let's go to Singapore.,86,es_word,ES,5,Blue Sky Elementary 5,,
pizza,ピザ,飲食物,,8,Let's go to Singapore.,66,es_word,ES,5,Blue Sky Elementary 5,,
rice,ご飯,飲食物,,8,Let's go to Singapore.,45,es_word,ES,5,Blue Sky Elementary 5,,
salad,サラダ,飲食物,,8,Let's go to Singapore.,86,es_word,ES,5,Blue Sky Elementary 5,,
spaghetti,スパゲッティ,飲食物,,8,Let's go to Singapore.,45,es_word,ES,5,Blue Sky Elementary 5,,
steak,ステーキ,飲食物,,8,Let's go to Singapore.,87,es_word,ES,5,Blue Sky Elementary 5,,
coffee,コーヒー,飲食物,,8,Let's go to Singapore.,79,es_word,ES,5,Blue Sky Elementary 5,,
corn soup,コーンスープ,飲食物,,8,Let's go to Singapore.,87,es_word,ES,5,Blue Sky Elementary 5,,
mineral water,ミネラルウォーター,飲食物,,8,Let's go to Singapore.,87,es_word,ES,5,Blue Sky Elementary 5,,
miso soup,味噌汁,飲食物,,8,Let's go to Singapore.,87,es_word,ES,5,Blue Sky Elementary 5,,
orange juice,オレンジジュース,飲食物,,8,Let's go to Singapore.,90,es_word,ES,5,Blue Sky Elementary 5,,
soda,ソーダ,飲食物,,8,Let's go to Singapore.,87,es_word,ES,5,Blue Sky Elementary 5,,
tea,お茶,飲食物,,8,Let's go to Singapore.,87,es_word,ES,5,Blue Sky Elementary 5,,
cake,ケーキ,飲食物,,8,Let's go to Singapore.,19,es_word,ES,5,Blue Sky Elementary 5,,
ice cream,アイスクリーム,飲食物,,8,Let's go to Singapore.,4,es_word,ES,5,Blue Sky Elementary 5,,
parfait,パフェ,飲食物,,8,Let's go to Singapore.,87,es_word,ES,5,Blue Sky Elementary 5,,
pudding,プリン,飲食物,,8,Let's go to Singapore.,87,es_word,ES,5,Blue Sky Elementary 5,,
yogurt,ヨーグルト,飲食物,,8,Let's go to Singapore.,87,es_word,ES,5,Blue Sky Elementary 5,,
bitter,苦い,味,,8,Let's go to Singapore.,88,es_word,ES,5,Blue Sky Elementary 5,,
delicious,美味しい,味,,8,Let's go to Singapore.,88,es_word,ES,5,Blue Sky Elementary 5,,
salty,塩辛い,味,,8,Let's go to Singapore.,88,es_word,ES,5,Blue Sky Elementary 5,,
sour,酸っぱい,味,,8,Let's go to Singapore.,88,es_word,ES,5,Blue Sky Elementary 5,,
spicy,辛い,味,,8,Let's go to Singapore.,88,es_word,ES,5,Blue Sky Elementary 5,,
sweet,甘い,味,,8,Let's go to Singapore.,88,es_word,ES,5,Blue Sky Elementary 5,,
lunch,昼食,飲食物,,8,Let's go to Singapore.,36,es_word,ES,5,Blue Sky Elementary 5,,
cooking,料理する,得意なこと,,1,"I'm from Tokyo, Japan.",57,es_word,ES,6,Blue Sky Elementary 6,,
dancing,ダンスする,得意なこと,,1,"I'm from Tokyo, Japan.",57,es_word,ES,6,Blue Sky Elementary 6,,
drawing,絵を描く,得意なこと,,1,"I'm from Tokyo, Japan.",102,es_word,ES,6,Blue Sky Elementary 6,,
fishing,釣り,得意なこと,,1,"I'm from Tokyo, Japan.",102,es_word,ES,6,Blue Sky Elementary 6,,
playing,遊ぶ,得意なこと,,1,"I'm from Tokyo, Japan.",102,es_word,ES,6,Blue Sky Elementary 6,,
playing soccer,サッカーをする,得意なこと,,1,"I'm from Tokyo, Japan.",53,es_word,ES,6,Blue Sky Elementary 6,,
swimming,泳ぐ,得意なこと,,1,"I'm from Tokyo, Japan.",43,es_word,ES,6,Blue Sky Elementary 6,,
playing the piano,ピアノを弾く,得意なこと,,1,"I'm from Tokyo, Japan.",44,es_word,ES,6,Blue Sky Elementary 6,,
writing,書く,得意なこと,,1,"I'm from Tokyo, Japan.",102,es_word,ES,6,Blue Sky Elementary 6,,
riding,乗る,得意なこと,,1,"I'm from Tokyo, Japan.",102,es_word,ES,6,Blue Sky Elementary 6,,
running,走る,得意なこと,,1,"I'm from Tokyo, Japan.",102,es_word,ES,6,Blue Sky Elementary 6,,
singing,歌う,得意なこと,,1,"I'm from Tokyo, Japan.",42,es_word,ES,6,Blue Sky Elementary 6,,
skating,スケートをする,得意なこと,,1,"I'm from Tokyo, Japan.",72,es_word,ES,6,Blue Sky Elementary 6,,
skiing,スキーをする,得意なこと,,1,"I'm from Tokyo, Japan.",72,es_word,ES,6,Blue Sky Elementary 6,,
speaking,話す,得意なこと,,1,"I'm from Tokyo, Japan.",22,es_word,ES,6,Blue Sky Elementary 6,,
speaking English,英語を話す,得意なこと,,1,"I'm from Tokyo, Japan.",22,es_word,ES,6,Blue Sky Elementary 6,,
surfing,サーフィンする,得意なこと,,1,"I'm from Tokyo, Japan.",43,es_word,ES,6,Blue Sky Elementary 6,,
January,1月,月,,1,"I'm from Tokyo, Japan.",11,es_word,ES,6,Blue Sky Elementary 6,,
February,2月,月,,1,"I'm from Tokyo, Japan.",11,es_word,ES,6,Blue Sky Elementary 6,,
March,3月,月,,1,"I'm from Tokyo, Japan.",11,es_word,ES,6,Blue Sky Elementary 6,,
April,4月,月,,1,"I'm from Tokyo, Japan.",11,es_word,ES,6,Blue Sky Elementary 6,,
May,5月,月,,1,"I'm from Tokyo, Japan.",11,es_word,ES,6,Blue Sky Elementary 6,,
June,6月,月,,1,"I'm from Tokyo, Japan.",11,es_word,ES,6,Blue Sky Elementary 6,,
July,7月,月,,1,"I'm from Tokyo, Japan.",11,es_word,ES,6,Blue Sky Elementary 6,,
August,8月,月,,1,"I'm from Tokyo, Japan.",10,es_word,ES,6,Blue Sky Elementary 6,,
September,9月,月,,1,"I'm from Tokyo, Japan.",10,es_word,ES,6,Blue Sky Elementary 6,,
October,10月,月,,1,"I'm from Tokyo, Japan.",10,es_word,ES,6,Blue Sky Elementary 6,,
November,11月,月,,1,"I'm from Tokyo, Japan.",10,es_word,ES,6,Blue Sky Elementary 6,,
December,12月,月,,1,"I'm from Tokyo, Japan.",10,es_word,ES,6,Blue Sky Elementary 6,,
1st (first),1日目,日付,,1,"I'm from Tokyo, Japan.",54,es_word,ES,6,Blue Sky Elementary 6,,
2nd (second),2日目,日付,,1,"I'm from Tokyo, Japan.",29,es_word,ES,6,Blue Sky Elementary 6,,
3rd (third),3日目,日付,,1,"I'm from Tokyo, Japan.",29,es_word,ES,6,Blue Sky Elementary 6,,
4th (fourth),4日目,日付,,1,"I'm from Tokyo, Japan.",29,es_word,ES,6,Blue Sky Elementary 6,,
5th (fifth),5日目,日付,,1,"I'm from Tokyo, Japan.",29,es_word,ES,6,Blue Sky Elementary 6,,
6th (sixth),6日目,日付,,1,"I'm from Tokyo, Japan.",29,es_word,ES,6,Blue Sky Elementary 6,,
7th (seventh),7日目,日付,,1,"I'm from Tokyo, Japan.",29,es_word,ES,6,Blue Sky Elementary 6,,
8th (eighth),8日目,日付,,1,"I'm from Tokyo, Japan.",29,es_word,ES,6,Blue Sky Elementary 6,,
9th (ninth),9日目,日付,,1,"I'm from Tokyo, Japan.",29,es_word,ES,6,Blue Sky Elementary 6,,
10th (tenth),10日目,日付,,1,"I'm from Tokyo, Japan.",29,es_word,ES,6,Blue Sky Elementary 6,,
Atomic Bomb Dome,原爆ドーム,観光地,,2,Welcome to Japan.,20,es_word,ES,6,Blue Sky Elementary 6,,
Eiheiji Temple,永平寺,観光地,,2,Welcome to Japan.,20,es_word,ES,6,Blue Sky Elementary 6,,
Izumo Grand Shrine,出雲大社,観光地,,2,Welcome to Japan.,20,es_word,ES,6,Blue Sky Elementary 6,,
Kusatsu Hot Springs,草津温泉,観光地,,2,Welcome to Japan.,21,es_word,ES,6,Blue Sky Elementary 6,,
Lake Biwa,琵琶湖,観光地,,2,Welcome to Japan.,20,es_word,ES,6,Blue Sky Elementary 6,,
Mt. Fuji,富士山,観光地,,2,Welcome to Japan.,21,es_word,ES,6,Blue Sky Elementary 6,,
Shuri Castle,首里城,観光地,,2,Welcome to Japan.,20,es_word,ES,6,Blue Sky Elementary 6,,
Tanabata Festival,七夕祭り,観光地,,2,Welcome to Japan.,21,es_word,ES,6,Blue Sky Elementary 6,,
Yokohama Bay Bridge,横浜ベイブリッジ,観光地,,2,Welcome to Japan.,21,es_word,ES,6,Blue Sky Elementary 6,,
amusement park,遊園地,"施設,設備",,3,We need a big park in town.,109,es_word,ES,6,Blue Sky Elementary 6,,
aquarium,水族館,"施設,設備",,3,We need a big park in town.,109,es_word,ES,6,Blue Sky Elementary 6,,
art museum,美術館,"施設,設備",,3,We need a big park in town.,109,es_word,ES,6,Blue Sky Elementary 6,,
bookstore,書店,"施設,設備",,3,We need a big park in town.,79,es_word,ES,6,Blue Sky Elementary 6,,
cake shop,ケーキ屋,"施設,設備",,3,We need a big park in town.,19,es_word,ES,6,Blue Sky Elementary 6,,
coffee shop,コーヒーショップ,"施設,設備",,3,We need a big park in town.,79,es_word,ES,6,Blue Sky Elementary 6,,
convenience store,コンビニ,"施設,設備",,3,We need a big park in town.,78,es_word,ES,6,Blue Sky Elementary 6,,
department store,デパート,"施設,設備",,3,We need a big park in town.,79,es_word,ES,6,Blue Sky Elementary 6,,
flower shop,花屋,"施設,設備",,3,We need a big park in town.,79,es_word,ES,6,Blue Sky Elementary 6,,
gym,ジム,"施設,設備",,3,We need a big park in town.,5,es_word,ES,6,Blue Sky Elementary 6,,
hospital,病院,"施設,設備",,3,We need a big park in town.,78,es_word,ES,6,Blue Sky Elementary 6,,
hotel,ホテル,"施設,設備",,3,We need a big park in town.,79,es_word,ES,6,Blue Sky Elementary 6,,
ice cream shop,アイスクリーム屋,"施設,設備",,3,We need a big park in town.,4,es_word,ES,6,Blue Sky Elementary 6,,
library,図書館,"施設,設備",,3,We need a big park in town.,80,es_word,ES,6,Blue Sky Elementary 6,,
movie theater,映画館,"施設,設備",,3,We need a big park in town.,109,es_word,ES,6,Blue Sky Elementary 6,,
park,公園,"施設,設備",,3,We need a big park in town.,74,es_word,ES,6,Blue Sky Elementary 6,,
post office,郵便局,"施設,設備",,3,We need a big park in town.,78,es_word,ES,6,Blue Sky Elementary 6,,
restaurant,レストラン,"施設,設備",,3,We need a big park in town.,79,es_word,ES,6,Blue Sky Elementary 6,,
shopping mall,ショッピングモール,"施設,設備",,3,We need a big park in town.,109,es_word,ES,6,Blue Sky Elementary 6,,
stadium,スタジアム,"施設,設備",,3,We need a big park in town.,32,es_word,ES,6,Blue Sky Elementary 6,,
station,駅,"施設,設備",,3,We need a big park in town.,32,es_word,ES,6,Blue Sky Elementary 6,,
supermarket,スーパーマーケット,"施設,設備",,3,We need a big park in town.,78,es_word,ES,6,Blue Sky Elementary 6,,
swimming pool,プール,"施設,設備",,3,We need a big park in town.,109,es_word,ES,6,Blue Sky Elementary 6,,
town,町,"施設,設備",,3,We need a big park in town.,32,es_word,ES,6,Blue Sky Elementary 6,,
zoo,動物園,"施設,設備",,3,We need a big park in town.,114,es_word,ES,6,Blue Sky Elementary 6,,
I ate fish.,魚を食べた,食べ物,,4,I went to the zoo.,104,es_word,ES,6,Blue Sky Elementary 6,,
